loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc
2500,2500,2500,36,13.56,84.92,C,C1,Chef,10,RENT,55000
30000,30000,30000,60,18.94,777.23,D,D2,Postmaster ,10,MORTGAGE,90000
5000,5000,5000,36,17.97,180.69,D,D1,Administrative,6,MORTGAGE,59280
4000,4000,4000,36,18.94,146.51,D,D2,IT Supervisor,10,MORTGAGE,92000
30000,30000,30000,60,16.14,731.78,C,C4,Mechanic,10,MORTGAGE,57250
5550,5550,5550,36,15.02,192.45,C,C3,Director COE,10,MORTGAGE,152500
2000,2000,2000,36,17.97,72.28,D,D1,Account Manager,4,RENT,51000
6000,6000,6000,36,13.56,203.79,C,C1,Assistant Director,10,RENT,65000
5000,5000,5000,36,17.97,180.69,D,D1,Legal Assistant III,10,MORTGAGE,53580
6000,6000,6000,36,14.47,206.44,C,C2,,1,OWN,300000
5500,5500,5500,36,22.35,211.05,D,D5,,1,MORTGAGE,50000
28000,28000,28000,60,11.31,613.13,B,B3,Consultant,2,MORTGAGE,70000
11200,11200,11200,36,8.19,351.95,A,A4,Job Coach Supervisor,10,MORTGAGE,65000
6500,6500,6500,36,17.97,234.9,D,D1,Quality Field Engineer,4,MORTGAGE,154000
22000,22000,22000,60,12.98,500.35,B,B5,Teller ,10,MORTGAGE,65000
3500,3500,3500,36,16.14,123.3,C,C4,respritory therapist,10,MORTGAGE,80000
7000,7000,7000,36,12.98,235.8,B,B5,Worship Director,4,MORTGAGE,102500
25000,25000,25000,60,16.91,620.11,C,C5,Processor ,10,MORTGAGE,23878
16000,16000,16000,60,20.89,431.87,D,D4,Neonatal Nurse Practitioner,4,MORTGAGE,120000
13000,13000,13000,60,14.47,305.67,C,C2,Stationary Engineer,10,MORTGAGE,75000
10000,10000,10000,36,13.56,339.65,C,C1,,1,MORTGAGE,65000
13000,13000,13000,36,14.47,447.29,C,C2,Exhibits director,10,MORTGAGE,55000
9600,9600,9600,36,23.4,373.62,E,E1,driver coordinator ,9,RENT,65000
3500,3500,3500,36,20.89,131.67,D,D4,gas attendant,10,MORTGAGE,40000
16000,16000,16000,60,26.31,481.99,E,E4,Financial Relationship Associate,1,RENT,33000
15000,15000,14975,60,14.47,352.69,C,C2,,0,MORTGAGE,30000
13000,13000,13000,36,23.4,505.95,E,E1,Sale Representative,2,MORTGAGE,90000
23000,23000,23000,60,20.89,620.81,D,D4,Operator,5,RENT,68107
8000,8000,8000,36,23.4,311.35,E,E1,Manager,10,OWN,43000
32075,32075,32075,60,11.8,710.26,B,B4,Nursing Supervisor,10,MORTGAGE,150000
12000,12000,12000,60,13.56,276.49,C,C1,,1,MORTGAGE,40000
10000,10000,10000,60,19.92,264.5,D,D3,Material Handler,10,MORTGAGE,80000
16000,16000,16000,60,17.97,406.04,D,D1,Instructional Coordinator,5,MORTGAGE,51000
3300,3300,3300,36,23.4,128.44,E,E1,Program Manager,3,RENT,49700
20000,20000,20000,60,11.8,442.88,B,B4,,0,MORTGAGE,47590
3500,3500,3500,36,20.89,131.67,D,D4,Budget & Procurement Specialist,10,RENT,33190
12000,12000,12000,36,26.31,485.48,E,E4,,5,OWN,19000
10000,10000,10000,36,20.89,376.19,D,D4,Foreman shop ,7,RENT,74000
6000,6000,5975,36,6.46,183.79,A,A1,Substance Abuse Counselor,1,MORTGAGE,40000
25000,25000,25000,60,27.27,767.43,E,E5,Business Intelligence Engineer,5,MORTGAGE,171000
20000,20000,20000,36,12.98,673.69,B,B5,FC,5,RENT,74800
2200,2200,2200,36,15.02,76.29,C,C3,,0,RENT,70000
25000,25000,25000,60,17.97,634.43,D,D1,Information technology ,7,RENT,53000
4000,4000,4000,36,11.8,132.48,B,B4,,0,RENT,20000
1250,1250,1250,36,23.4,48.65,E,E1,BANKER,10,RENT,52000
10400,10400,10400,36,12.98,350.32,B,B5,Program Support Assistant ,10,MORTGAGE,56099
7500,7500,7475,36,11.8,248.4,B,B4,,0,MORTGAGE,32700
7000,7000,6975,36,10.72,228.25,B,B2,Business Analyst,1,MORTGAGE,97000
25000,25000,25000,36,12.98,842.11,B,B5,,0,OWN,30000
8000,8000,8000,36,11.8,264.96,B,B4,Program Manager,7,MORTGAGE,85000
9000,9000,9000,36,10.33,291.81,B,B1,Millwright,4,MORTGAGE,75000
9600,9600,9600,36,15.02,332.89,C,C3,Fuel truck driver,10,OWN,60000
8000,8000,8000,36,10.72,260.86,B,B2,Publications and Images Project Manager,10,MORTGAGE,82923
12000,12000,12000,36,16.14,422.72,C,C4,Trainer,6,RENT,24000
20000,20000,20000,36,13.56,679.29,C,C1,Armed Security officer,9,MORTGAGE,40000
40000,40000,40000,60,14.47,940.51,C,C2,,1,MORTGAGE,500000
14400,14400,14400,60,14.47,338.59,C,C2,Director,3,RENT,110000
22400,22400,22400,36,8.81,710.34,A,A5,Manager,2,MORTGAGE,30000
25000,25000,25000,36,10.33,810.56,B,B1,Agent,2,OWN,78000
26000,26000,26000,60,18.94,673.6,D,D2,Mortgage loan processor,10,MORTGAGE,40000
25000,25000,25000,60,15.02,595.02,C,C3,CFO ,10,MORTGAGE,63500
1000,1000,1000,36,30.75,42.87,F,F5,,0,MORTGAGE,50000
2000,2000,2000,36,8.19,62.85,A,A4,Laborer,4,MORTGAGE,100000
9000,9000,8975,36,6.46,275.68,A,A1,Driver,10,MORTGAGE,35000
20000,20000,20000,36,13.56,679.29,C,C1,Lead Transportation Security Officer,10,MORTGAGE,98500
29450,29450,29450,36,8.19,925.44,A,A4,General Manager,10,MORTGAGE,161000
34625,34625,34625,60,16.14,844.6,C,C4,Vice President,10,MORTGAGE,137500
31450,31450,31450,36,7.56,979.16,A,A3,Construction Manager,7,MORTGAGE,130000
15500,15500,15500,36,10.72,505.4,B,B2,Administrative Assistant ,10,RENT,52000
12000,12000,12000,36,11.8,397.43,B,B4,Transportation Manager,10,RENT,79365
36000,36000,36000,60,17.97,913.58,D,D1,Pharmacist,9,RENT,160000
30000,30000,30000,36,16.14,1056.79,C,C4,Structural Engineer,7,MORTGAGE,116000
3000,3000,3000,36,17.97,108.42,D,D1,IT Assistant,10,RENT,50000
35000,35000,35000,36,12.98,1178.96,B,B5,Anti Money Laundering Compliance Manager,2,RENT,112000
26500,26500,26500,60,11.31,580.28,B,B3,Compliance Director,10,MORTGAGE,134000
4000,4000,4000,36,23.4,155.68,E,E1,Security,3,RENT,90000
12000,12000,12000,60,22.35,333.82,D,D5,Header operator ,1,OWN,65000
3000,3000,3000,36,15.02,104.03,C,C3,Banker ,4,MORTGAGE,60000
8000,8000,8000,36,14.47,275.26,C,C2,Warehouse Associates,4,RENT,42300
10250,10250,10250,36,10.72,334.22,B,B2,Teacher,10,MORTGAGE,96000
22400,22400,22400,60,16.14,546.4,C,C4,Paramedic/ Fire Fighter,10,OWN,56000
27000,27000,27000,60,15.02,642.62,C,C3,Supervisor ,10,MORTGAGE,45000
24000,24000,24000,36,19.92,890.95,D,D3,overnight supervisor,7,RENT,30000
6500,6500,6500,36,10.72,211.95,B,B2,Dealer ,1,RENT,50000
25000,25000,25000,36,16.91,890.2,C,C5,OFFICE MANAGER,10,RENT,95000
8000,8000,8000,36,10.72,260.86,B,B2,Goldsmith,2,RENT,95000
21000,21000,21000,60,15.02,499.81,C,C3,Lpn,5,OWN,50000
10000,10000,10000,36,14.47,344.07,C,C2,Teacher ,10,RENT,47000
7500,7500,7500,36,16.14,264.2,C,C4,lab tech,10,OWN,50000
30000,30000,30000,36,16.91,1068.24,C,C5,customer service,10,RENT,40000
3775,3775,3775,36,13.56,128.22,C,C1,,0,OWN,5000
5600,5600,5600,36,11.31,184.17,B,B3,,0,RENT,20166
6000,6000,6000,36,16.14,211.36,C,C4,Facility Maintenance Tech,3,RENT,40000
16000,16000,16000,36,15.02,554.81,C,C3,Plumber,4,OWN,50000
